transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000452795.1 0 0 0.0204575 0 0
ENST00000427204.1 0 0 0 0 6.35e-05
ENST00000415386.2 0.0364135 0.004773 0.0324865 0.044689 0.0006365
ENST00000392963.3 0.117082 0.0043995 0.042888 0.11139 0.0632225
ENST00000401007.3 0.301116 0.024612 0.098788 0.353598 0.12583
ENST00000430580.1 0.054577 0.005336 0.04466 0.146447 0.0572745
ENST00000420031.2 0.0343235 0.0031275 0.0175415 0.017137 0.015275
ENST00000432949.1 0.0040535 0.001252 0.003445 0.0370115 0.040313
ENST00000287968.8 0 0.0012545 0 0 0
ENST00000420513.1 0.0357635 0.0011465 0.013055 0.039962 0.019462
ENST00000449853.1 0.299744 0.020095 0.126404 0.200205 0.327201
ENST00000540383.1 0.049108 0.029078 0.049237 0.266802 0.127221
ENST00000412962.1 0.0880835 0.0452055 0.163097 0.421046 0.31699
ENST00000501442.1 0.0001055 0.000248 0.0001795 0.0003735 0.0001085
ENST00000421700.1 0.0943645 0.0663225 0.113178 0.251375 0.236754
ENST00000362058.2 0.009102 0.0154195 0.0088875 0.024089 0.0211675
ENST00000535991.1 0.0028115 0.0013005 0.0029605 0.00524 0.001277
ENST00000414340.1 0 0 0 0 0
ENST00000422345.1 0 0 0 0 0
ENST00000414128.1 0 0 0.0002335 0.000971 0.000257
ENST00000438002.1 1.8e-05 0 0.005364 0.000485 0.0004415
ENST00000451828.1 0 0 0.0199815 0 0.000854
ENST00000453554.1 0.0016525 0.000468 0.015424 0.0033555 0.00048
ENST00000457856.1 0 0 0.0029455 0 0.001101
ENST00000422124.1 0 0 0.004739 0 0
ENST00000416869.1 0 0 0.0004805 0 0
ENST00000457075.1 0 0 0.0197025 0 0
ENST00000446261.1 0 0 0 0.000175 0
ENST00000412427.1 0.001224 0 0 0 0
ENST00000539219.1 0.001412 5.3e-05 0.000378 0.0006775 2.6e-05
ENST00000439577.1 0.0003095 0 0.0007895 0 0.0009855
ENST00000430540.1 0.001241 0 0 0.0088685 0
ENST00000419667.1 0 0 0.0014265 0 0
ENST00000420211.1 0 0 0.0138565 0 0
ENST00000437898.1 0.046133 0.0386055 0.006316 0.049872 0.0335435
ENST00000416470.1 0 0.000761 0.0012705 0.0005375 0
ENST00000454736.1 0 0.000345 0.0002305 0 0
ENST00000417884.1 0.000699 0.0001145 9.5e-05 0.000189 0
ENST00000431027.1 0 4.8e-05 0 0.0007675 0
ENST00000442226.1 0 0.0044565 0.003249 0 0.0714
ENST00000435552.1 0 0 0 0 0
ENST00000444923.1 0 0 0 0 0
ENST00000426428.1 0 0 3.45e-05 0 0
ENST00000418743.1 0 0 0.0004795 0.000349 0
ENST00000423486.1 0 0 0 0 0
ENST00000421114.1 0 0 0 0 0
ENST00000436642.1 0.0005065 0 0 0.000929 0
ENST00000413451.1 0.0039925 0.005424 0 0.0011235 0.00592
ENST00000416959.1 0.005656 0 0 0.000507 0.0047955
ENST00000449034.1 0.0006915 0.0171205 0.007716 0.002007 9.15e-05
ENST00000444647.1 0 0 0 0 0
ENST00000423921.1 0 0 0 0 0
ENST00000457706.1 0 0 0.0056405 0 0
ENST00000455966.1 0.0034415 0.023128 0.0094135 0.0050055 0.006278
ENST00000434233.1 0.152081 0.0711045 0.029642 0.0763595 0.159345
ENST00000420503.1 0.057083 0.022968 0.120305 0.0654385 0.0263655
ENST00000404210.2 0.0829675 0 0 0.0132755 0.0147915
ENST00000416769.1 0.128915 0.0710675 0.295309 0.112612 0.122491
