filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000506420.1	0	0	0	0	0
ENST00000505694.1	0	0	0	0	0.0317675
ENST00000419300.1	2.33927	11.8173	49.3652	0.402249	0.730946
ENST00000527232.1	0.00270967	0.0032295	0.018061	0.0036935	0.002885
ENST00000419542.1	2.77866	6.66481	14.4195	20.3751	8.04051
ENST00000514043.1	0	0	0	0	0
ENST00000515374.1	0.17894	0.28405	0.104556	0.362148	0.270315
ENST00000539453.1	0	0	0	0	0.009525
ENST00000527474.1	0.811039	0	2.70266	0	0.0329185
ENST00000515495.1	0.005989	0.00282	0.002594	0.0086805	0
ENST00000419784.1	0	0	0	0	0
ENST00000526385.1	0.00164933	0.004992	0	0	0
ENST00000502041.2	0.842224	1.93485	2.05099	0.715691	2.02867
ENST00000502162.2	1.93992	5.28928	1.50073	5.66889	1.07657
ENST00000429343.1	0	0	0.004086	0	0.0271005
ENST00000429464.1	0	0	0	0.00992	0.011284
ENST00000428254.1	0.575959	0.973595	2.44548	0.976248	1.51865
ENST00000416275.1	0	0	0	0	0.001416
ENST00000501194.2	0.0254607	0.542317	0.274076	0.108749	1.41255
ENST00000429562.2	0.200524	0.33958	0.204728	0.290083	1.02352
ENST00000439386.1	0.0342147	1.73908	0.576377	0.945014	0.0403365
ENST00000508851.1	0.0409207	0.019829	0.913953	0.010751	0.002766
ENST00000507641.1	0.0534873	0.106945	0.332727	0	0
ENST00000519983.1	0	0	0	0	0
ENST00000504132.1	0	0	0	0	0
ENST00000518894.1	0.200932	0.143504	1.01737	0.089881	0.121325
ENST00000539222.1	0	0	0	0.033021	0
ENST00000515264.1	0.124405	1.02721	0.55116	0.806383	0.314825
ENST00000504230.2	4.75837	20.1136	6.02011	0.27984	0.0423955
ENST00000527364.1	0	0	0	0	0
ENST00000418343.1	0	0	0	0	0
ENST00000526154.1	0	0	0	1.12957	0
ENST00000419795.1	0	0	0	0	0
ENST00000526275.1	10.4929	22.1262	16.3522	8.98175	32.1103
ENST00000418585.1	0.000608	0.007921	0.0037915	0.0012645	0
ENST00000525186.1	0.0404183	0.296413	0.139811	0.464106	0.375684
ENST00000428023.1	0	0	0	0	0
ENST00000429475.1	0.00154367	0	0.0101535	0.22096	0.0036795
ENST00000427055.1	0.0146163	0.0588215	0.054623	0.045667	0.129052
ENST00000427176.1	0	0.057275	0	0	0
ENST00000416263.2	0.090581	0.367226	0.492293	0.534069	0.33743
ENST00000506321.1	0	0	0	0.002766	19.9857
ENST00000507894.1	0	0.010945	0	0.032326	0.016195
ENST00000527012.1	0.000797333	0.0939445	0	0.0105945	0.0148455
ENST00000517695.1	0	0	0	0	0
ENST00000515275.1	0	0	0	1.80674	18.2487
ENST00000514186.1	0.385132	0	0.00745	0.0206665	0.162646
ENST00000429365.1	0	0.37106	0.113013	0.10534	0
