filename,NHEK,HMEC,AG04450,K562,MCF7,HUVEC,BJ,HSMM,HELAS3,GM12878,NHLF,H1HESC,A549,SKNSHRA,HEPG2,CSHL_WholeCell_LPA+-_15CellLines
ENST00000452883.1,0.921608,0.139618,0.37123,0.781076,1.07898,0.136279,0.324974,0.40432,0.339908,0.174383,0.252175,1.52763,1.43012,3.24842,0.56787,
ENST00000499710.1,0,0,0.008428,0.02302,0.0146695,0.002381,0.001219,0,0.01446,0.0346345,0,0.0829845,0.0010575,0.018797,0.017397,
ENST00000484222.1,0,0,0,0,0,0,0,0,0.0079205,0.0009675,0,0,0,0,0.074385,
ENST00000498984.1,0.115697,0.044662,0.046425,0.145563,0.0699915,0.039475,0.170651,0.036178,0.108733,0.172004,0.0207845,0.0980595,0.0421235,0.0982585,0.0959475,
ENST00000497774.1,249.309,165.403,211.566,347.774,140.723,223.392,247.806,177.703,318.764,176.423,205.017,285.63,262.46,117.291,232.863,
ENST00000506728.1,0.00949633,0,0.014395,0.005023,0.0136395,0.019396,0.011422,0,0.0180365,0.003969,0.001932,0.043072,0.008926,0.0182585,0.008826,
ENST00000505518.1,0.000970333,0,0,0,0,0,0,0,0.0026435,0,0,0,0.001081,0.00967,0,
ENST00000517739.1,0,0,0,0,0,0,0,0.005303,0.037653,0.0647335,0,0,0.002797,0.0087715,0.0084115,
ENST00000504429.1,0,0,0.291226,0.62738,0.0139385,0.028847,1.29493,0.0032025,0.005214,0.0012765,0.019521,0.003672,0.0099995,91.133,0,
ENST00000528629.1,0.185655,0.015054,0,0,0.0264565,0,0.066462,0.020952,0,0.0181625,0.470079,0,0.0344545,0.755947,0,
ENST00000514109.1,9.59596,3.2292,4.10783,9.54682,1.62469,3.03547,4.20295,2.67931,3.68154,7.26436,2.4551,2.6618,4.11223,4.79282,4.59311,
ENST00000399971.3,0.575512,0.42271,0.751877,2.68895,0.967518,0.970782,0.817786,0.256095,3.08403,2.69837,0.565424,0.269664,1.75427,0.598673,1.79859,
ENST00000276770.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000453862.1,0.00381567,0,0,0,0.0059425,0,0,0,0,0,0,0,0,0,0,
ENST00000450353.1,0.852484,0.178763,0.476731,1.90605,3.18192,1.05574,0.758122,0.5093,1.82094,1.69664,0.620273,2.98441,1.56669,2.43043,1.91301,
ENST00000499842.1,0.339413,0.151952,0.0652715,0.002114,0.0852415,0.0148185,0.141125,0.139468,0.164374,0.02134,0.014516,0.022052,0.329206,0.245049,0.077741,
ENST00000474795.1,0.58942,1.4064,0.092721,0,3.17172,0.126139,0.262769,0.464852,0,0,0.8911,1.63799,0.415206,0.456769,0,
ENST00000483023.1,0.00142567,0,0,0,0,0,0,0.0155745,0.010696,0,0,0,0,0,0.0044185,
ENST00000507817.1,0,0,0,0,0.0129715,0,0,0,0,0,0,0,0,0.28711,0,
ENST00000517508.1,0,0,0.0891875,0.571398,0,0.155926,0,0,0,0.161822,0.0139585,0.18582,0,0.109813,0,
ENST00000505627.2,0,0,0.03567,0.0988495,0.004486,0.0217895,0.0094545,0,0.181876,0,0.0084825,0,0.632855,0.107665,0.26397,
ENST00000418409.1,0.00232933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000431730.1,0,0,0.0065585,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000443830.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000430520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368,
ENST00000430641.1,0,0,0,0,0,0,0,0,0.0054355,0,0,0,0,0,0,
ENST00000440200.1,0.148401,0.048702,0.201239,1.12373,0.312977,0.125128,0.110102,0.0087305,0.4302,0.212379,0.024152,0.107135,0.471793,0.278913,1.1412,
ENST00000441531.1,0.019098,0.029282,0.173753,0.217823,0.510042,0.235442,0.187663,0.133922,0.54551,0.0646315,0.0409225,0.863263,0.253472,0.506285,0.937075,
ENST00000430883.1,0.0140537,0.111899,0.077941,0,0.039267,0.041331,0.05756,0.084201,0.0126545,0.002812,0,0.150306,0.031193,0.0048535,0.077625,
ENST00000440321.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000441773.1,0,0,0,0,0,0,0,0.0139345,0,0,0,0,0,0,0,
ENST00000451574.1,0.0497437,0,0.009646,0.0456775,0.0086625,0,0,0.0141035,0.04953,0.005458,0,0,0.446591,0.008737,0.003976,
ENST00000499732.1,66.8934,16.5362,36.0476,40.1312,63.1715,110.943,62.8423,10.1336,119.279,36.9176,26.7449,2.84572,63.0179,156.793,35.0329,
ENST00000507949.1,0.00269933,0,0,0,0,0,0,0,0,0.063177,0,0.015212,0,0,0,
ENST00000505408.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092795,0,
ENST00000506739.1,0.050441,0.059461,0.0700225,0,0.001698,0,1.48678,0.235186,0.0261675,0,0.323827,0,0.169941,0.0928905,0,
ENST00000432830.1,0,0,0,0,0,0,0,0,0.103212,0,0,0,0,0,0.30139,
ENST00000420851.1,1.72435,2.02481,4.1027,10.295,2.54769,0.207864,6.48756,1.26229,4.61881,4.14166,1.0815,0.436963,7.63021,2.69177,4.45146,
ENST00000431862.1,0,0,0,0,0,0,0,0.0457445,0,0,0,0,0,0,0,
ENST00000431983.1,0,0,0,0.0591025,0.12393,0,0,0.005032,0,0,0,0.0045795,0,0,0,
ENST00000453400.1,0,0,0,0,0.006788,0,0,0,0,0,0,0.614347,0,0,0,
ENST00000453521.1,0.121681,0.484224,0.483898,0.374669,0.565368,0.118771,0.192404,0.200639,0.639865,0.445351,0.684084,0,0.815179,0.011497,1.11101,
ENST00000442994.1,0,0,0,0,0,0,0,0,0,0,0,0.013559,0,0,0,
ENST00000453642.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000451101.1,0.00368267,0,0,0,0,0,0,0,0,0,0,0.295914,0.0385765,0,0,
ENST00000452553.1,0,0,0,0,0,0,0,0,0.006018,0.0007555,0,0,0,0,0,
ENST00000440574.1,0.121048,0.130102,0.107183,0.123458,0.126442,0.150329,0.0158275,0.0287875,0.067542,0.121372,0.167318,0.426708,0.309327,0.140388,0.345443,
ENST00000451464.1,0,0,0,0.038451,0,0,0,0,0,2.19399,0,0.010658,0,0,0,
ENST00000452795.1,0.053124,0,0.0662015,0,0.023781,0.0845735,0.0568525,0.012682,0,0,0.0170525,0.406437,0.206543,0.013291,0,
ENST00000506629.1,0.020031,0,0.05484,0.0392125,0.21992,0.0059135,0.047971,0.007714,0.105928,0.116462,0,0.172036,0.0073455,0.0949235,0.132721,
ENST00000517519.1,0.003839,0,0,0.007077,0.002985,0,0,0.045313,0.0083875,0.0064845,0,0.001837,0.014562,0.0016845,0,
ENST00000530972.1,0.0993,0.005751,0.070911,0.449062,0.067012,0.215329,0.11207,0.012484,0.13142,0.251611,0.00813,0.0715175,0.0974785,0.18474,0.180605,
ENST00000421951.1,0.0146163,0.01174,0.012814,0.0588215,0.005132,0.0186175,0.0078685,0.000975,0.054623,0.045667,0.009097,0.129052,0.044522,0.0021505,0.0101405,
ENST00000540410.1,0.0529147,0,0,0.0080525,0,0.0158365,0,0,0,0,0,0,0,0.0162575,0,
ENST00000540652.1,0.0738473,0.021407,0.0431985,0.12526,0,0,0.016483,0,0,0,0.050293,0,0,23.1013,0.006972,
