index "transcript_id" "HELAS3" "GM12878" "H1HESC" "HEPG2" "K562" "entropy" "min" "max" "average" "maxExpr" "HELAS3.Expr" "GM12878.Expr" "H1HESC.Expr" "HEPG2.Expr" "K562.Expr" "threeTimesSpecifity" "tissSpec" "expressed"
"82" "ENST00000454562.1" 0.00108 0 0.004043 0.0047215 0.000283 1.53072705548182 0 0.0047215 0.0020255 "HEPG2" "mid" "notExpressed" "mid" "mid" "low" "None" 0.418084482593754 "yes"
"83" "ENST00000417917.1" 0.0009135 9.15e-05 0.004333 0.0034 0 1.44112958562327 0 0.004333 0.0017476 "H1HESC" "low" "low" "mid" "mid" "notExpressed" "None" 0.439151277832964 "yes"
"84" "ENST00000502203.1" 0.000831 0 0.0064045 0.003462 0.0024565 1.71622014498628 0 0.0064045 0.0026308 "H1HESC" "low" "notExpressed" "mid" "mid" "mid" "None" 0.432766089030494 "yes"
"85" "ENST00000417099.1" 0.005416 0.001229 0.0056555 0.00179 0.00368 2.11864594501258 0.001229 0.0056555 0.0035541 "H1HESC" "mid" "mid" "mid" "mid" "mid" "None" 0.311220479404809 "yes"
"86" "ENST00000424604.1" 0 0 0 0.000742 0.000252 0.816811427704525 0 0.000742 0.0001988 "HEPG2" "notExpressed" "notExpressed" "notExpressed" "low" "low" "None" 0.62572617645511 "yes"
"87" "ENST00000412228.1" 0.0494685 0.01647 0.034188 0.0598555 0.0125265 2.1076833717444 0.0125265 0.0598555 0.0345017 "HEPG2" "high" "high" "high" "high" "high" "None" 0.332423517540004 "yes"
"88" "ENST00000443930.1" 0 0 0.008062 0 0 0 0 0.008062 0.0016124 "H1HESC" "notExpressed" "notExpressed" "high" "notExpressed" "notExpressed" "H1HESC" 1 "yes"
"89" "ENST00000445600.1" 0 0 0.0029375 0.0003475 0 0.487066354222563 0 0.0029375 0.000657 "H1HESC" "notExpressed" "notExpressed" "mid" "low" "notExpressed" "H1HESC" 0.765428582967065 "yes"
"90" "ENST00000449154.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"91" "ENST00000333854.2" 0.0005985 0 0.0037015 0.0004085 6.25e-05 1.0453231915197 0 0.0037015 0.0009542 "H1HESC" "low" "notExpressed" "mid" "low" "low" "H1HESC" 0.650261970462545 "yes"
"92" "ENST00000536678.1" 0.003078 0.0002205 0.02124 0.00586 0.0015975 1.43123340703939 0.0002205 0.02124 0.0063992 "H1HESC" "mid" "low" "high" "mid" "mid" "H1HESC" 0.56096687834334 "yes"
"93" "ENST00000444529.1" 0.000677 0 0.0046175 0.001871 0.0003705 1.45803384650943 0 0.0046175 0.0015072 "H1HESC" "low" "notExpressed" "mid" "mid" "low" "None" 0.52302047716676 "yes"
"94" "ENST00000420406.1" 0.000519 0.000867 0.0008445 0 0 1.54988065542238 0 0.000867 0.0004461 "GM12878" "low" "mid" "low" "notExpressed" "notExpressed" "None" 0.362733577338983 "yes"
"95" "ENST00000424657.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"96" "ENST00000442305.1" 0.001124 0 0.0008615 0 0 0.987354511270571 0 0.001124 0.0003971 "HELAS3" "mid" "notExpressed" "low" "notExpressed" "notExpressed" "None" 0.489237960163001 "yes"
"97" "ENST00000449660.1" 0 0.003589 0 0.001429 0.0001255 1.00632350403637 0 0.003589 0.0010287 "GM12878" "notExpressed" "mid" "notExpressed" "mid" "low" "None" 0.586936820519847 "yes"
"98" "ENST00000443892.2" 0 0.005044 0 0.004425 0 0.996915197626599 0 0.005044 0.0018938 "GM12878" "notExpressed" "mid" "notExpressed" "mid" "notExpressed" "None" 0.465327442957528 "yes"
"99" "ENST00000416860.2" 0.002279 0.0154545 0 0.0070495 0.0002345 1.32221531972829 0 0.0154545 0.0050035 "GM12878" "mid" "high" "notExpressed" "mid" "low" "None" 0.526700081352822 "yes"
"100" "ENST00000448624.2" 0 0.0438905 0 0.013383 0 0.784351326052874 0 0.0438905 0.0114547 "GM12878" "notExpressed" "high" "notExpressed" "high" "notExpressed" "GM12878" 0.642206710364606 "yes"
"101" "ENST00000432521.2" 0.002693 0.0092235 0.000102 0.0052345 0.000197 1.53972766152736 0.000102 0.0092235 0.00349 "GM12878" "mid" "high" "low" "mid" "low" "None" 0.462392488207991 "yes"
"102" "ENST00000452793.1" 0 0.0005775 0 0.0082 0 0.350024937974184 0 0.0082 0.0017555 "HEPG2" "notExpressed" "low" "notExpressed" "high" "notExpressed" "HEPG2" 0.816413636148351 "yes"
"103" "ENST00000456687.2" 0.000708 0.014897 0 0.003558 0 0.909258101449326 0 0.014897 0.0038326 "GM12878" "low" "high" "notExpressed" "mid" "notExpressed" "GM12878" 0.65158754452071 "yes"
"104" "ENST00000424215.1" 0 0.156371 0.0005005 0.006586 0 0.273428737320874 0 0.156371 0.0326915 "GM12878" "notExpressed" "high" "low" "mid" "notExpressed" "GM12878" 0.851597239755586 "yes"
"105" "ENST00000427302.1" 0 0 0.016679 0.0004865 0 0.186006309097063 0 0.016679 0.0034331 "H1HESC" "notExpressed" "notExpressed" "high" "low" "notExpressed" "H1HESC" 0.880342950199527 "yes"
"106" "ENST00000457440.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"107" "ENST00000429389.1" 0 0 0.000746 0 0 0 0 0.000746 0.0001492 "H1HESC" "notExpressed" "notExpressed" "low" "notExpressed" "notExpressed" "H1HESC" 1 "yes"
"108" "ENST00000321399.3" 0 0 4.35e-05 0 0 0 0 4.35e-05 8.7e-06 "H1HESC" "notExpressed" "notExpressed" "low" "notExpressed" "notExpressed" "H1HESC" 1 "yes"
"109" "ENST00000413472.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"110" "ENST00000453118.1" 0.000513 0 0.0002645 0.0003815 0 1.534595307928 0 0.000513 0.0002318 "HELAS3" "low" "notExpressed" "low" "low" "notExpressed" "None" 0.401320046982684 "yes"
"111" "ENST00000445317.1" 0.0003705 0 0.0003495 0.0027195 0 0.949409659566829 0 0.0027195 0.0006879 "HEPG2" "low" "notExpressed" "low" "mid" "notExpressed" "HEPG2" 0.663083400256812 "yes"
"112" "ENST00000415573.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"113" "ENST00000321336.1" 0.000196 0 0.000447 0.0192495 0 0.234589211271582 0 0.0192495 0.0039785 "HEPG2" "low" "notExpressed" "low" "high" "notExpressed" "HEPG2" 0.872119609603612 "yes"
"114" "ENST00000440516.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"115" "ENST00000435049.1" 0.005025 0.0036965 0.001842 0.001546 0.00404 2.19236679408124 0.001546 0.005025 0.0032299 "HELAS3" "mid" "mid" "mid" "mid" "mid" "None" 0.30592742668716 "yes"
"116" "ENST00000443034.1" 0 0.012198 0 0.001955 0 0.579329026456284 0 0.012198 0.0028306 "GM12878" "notExpressed" "high" "notExpressed" "mid" "notExpressed" "GM12878" 0.730247730466148 "yes"
"117" "ENST00000416554.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"118" "ENST00000418088.1" 0.001793 0 0.005665 0 0 0.795726375369361 0 0.005665 0.0014916 "H1HESC" "mid" "notExpressed" "mid" "notExpressed" "notExpressed" "H1HESC" 0.636556834312917 "yes"
"119" "ENST00000452079.1" 0.0590505 0.051298 0.213343 0.054011 0.186449 2.03783448261363 0.051298 0.213343 0.1128303 "H1HESC" "high" "high" "high" "high" "high" "None" 0.355127303903247 "yes"
"120" "ENST00000419973.1" 0.0008485 0.0003695 0.0034065 0.000494 0.00251 1.86674275740514 0.0003695 0.0034065 0.0015257 "H1HESC" "low" "low" "mid" "low" "mid" "None" 0.404113944545415 "yes"
"121" "ENST00000423764.1" 0.0395365 0.0109775 0.248588 0.106311 0.043461 1.73010200631234 0.0109775 0.248588 0.0897748 "H1HESC" "high" "high" "high" "high" "high" "None" 0.480414567283432 "yes"
"122" "ENST00000544565.1" 0.152339 0.028202 0.272432 0.18094 0.061932 2.01280466163389 0.028202 0.272432 0.139169 "H1HESC" "high" "high" "high" "high" "high" "None" 0.364757992377751 "yes"
"123" "ENST00000444870.2" 0.0179685 0.0004785 0.0169365 0.0919435 0.0685945 1.68494881061658 0.0004785 0.0919435 0.0391843 "HEPG2" "high" "low" "high" "high" "high" "None" 0.420272759224797 "yes"
"124" "ENST00000452264.1" 0.007589 0.000306 0.0024645 0.01508 0.013368 1.82760866511346 0.000306 0.01508 0.0077615 "HEPG2" "high" "low" "mid" "high" "high" "None" 0.362648967834886 "yes"
"125" "ENST00000413332.1" 0.018546 0.002119 0.0095625 0.0171425 0.0016785 1.88290706900127 0.0016785 0.018546 0.0098097 "HELAS3" "high" "mid" "high" "high" "mid" "None" 0.355090699131299 "yes"
"126" "ENST00000442673.1" 0.0110445 0.001445 0.005874 0.024505 0.0018535 1.70883313018738 0.001445 0.024505 0.0089444 "HEPG2" "high" "mid" "mid" "high" "mid" "None" 0.476218986182884 "yes"
"127" "ENST00000439488.1" 0.004621 0.0005085 0.0005085 0.004365 0.0003795 1.64612454348527 0.0003795 0.004621 0.0020765 "HELAS3" "mid" "low" "low" "mid" "low" "None" 0.403065715455835 "yes"
"128" "ENST00000456897.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
